request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"716eee5e-1329-4823-8692-02d314d012be",GET,/,"debug=true&locale=en",,302,,,,579181129862200,579181229752600,579181239457700
"2ef9014b-b9b7-449f-b5d8-331298916167",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=565,,579181286183600,579181303095400,579187517746500
"28a0bc35-fd50-4948-b93d-44dc19717d2f",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,579187705033000,579187716125400,579187717705800
"460c1921-2780-4355-94db-d0aed9d69887",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,579187733941400,579187737996100,579187739553400
"d8d8ba79-7b3b-42da-992a-633ad1d0d203",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,579187751858100,579187755524000,579187757181300
"77ca0ff6-1649-4cac-a483-ead096483fa1",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,579187769595400,579187773433400,579187774918200
"b78aa618-04c6-4d75-b2bc-dfaefd5bcd29",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,579187785945200,579187790757400,579187793276800
"928161d9-a355-424b-bb00-558335d3ef89",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,579187806604800,579187809809200,579187812142000
"5395ad8c-0941-47e1-a7d3-1628e763ad9c",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,579187821700200,579187825598400,579187827090800
"708b957c-d699-45ec-bc0f-3b67bf1055fe",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,579187838421100,579187843437400,579187845409400
"de4e8d59-fc07-4a0b-9378-7d86f2dd4188",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,579187854708000,579187864405000,579187865656600
"cea891fc-aebc-4399-8c8a-89d070a2cc2b",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,579187875883000,579187880071000,579187881481000
"1868e90c-3363-48fb-b36b-949afeb1f3ad",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,579187894839800,579187898717800,579187900364000
"757a61f6-904a-4307-8bcb-b66c429605a2",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,579187909029400,579187912399300,579187913649600
"f7e44055-175a-476c-92c3-29f2313cc76f",GET,/images/banner.png,,,200,image/png,,,579187922657800,579187926622800,579187928136400
"cd30649c-05a6-4068-834b-f7735ba77c30",GET,/images/logo.png,,,200,image/png,,,579187952105200,579187956992900,579187958334000
"30dd84db-1197-487f-a29b-1628fffcccf6",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,579187966924600,579187970708100,579187972053300
"7877a719-609b-4d44-9dd3-bdc7082a2768",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,579187986669000,579187989927200,579187991029800
"0321ff6a-8815-4252-b7ec-82970c8b2cdf",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=566&username=",,579188005081200,579188016450500,579190215487000
"c767c04a-becb-402c-b13a-a940b1b801ff",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,579190251880400,579190254729200,579190255731600
"69d7c88c-e893-46fe-b6eb-5ead01c26a4f",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,579190263686700,579190267118900,579190268343700
"bf5d0db5-19cf-41f1-a76b-97fd57f7b5b6",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,579190280995300,579190283506300,579190284389700
"7151584a-01e7-44d7-a393-b2274dbe0f29",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,579190292551000,579190295310700,579190296443000
"d0725f91-e0a6-467c-8052-6add150cc3e0",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,579190304176600,579190306788500,579190307759000
"1ea2743c-df3c-4c62-8b02-97cbc7014002",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,579190314451700,579190317153900,579190318631400
"c38becd9-f694-4403-8e41-d0eb5a86f336",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,579190326653500,579190329143000,579190330045800
"1511762f-fb2f-4dab-8b45-cdcdcb3b5c3a",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,579190337421600,579190340642800,579190341529200
